{'Forg_Accuracy': 0.6275331935709294, 'Util_Accuracy': 0.5593182235755063, 'k_frac': 0.025, 'count': 0}
{'Forg_Accuracy': 0.5994060097833682, 'Util_Accuracy': 0.5676387224651588, 'k_frac': 0.05, 'count': 0}
{'Forg_Accuracy': 0.6367924528301887, 'Util_Accuracy': 0.5775554964779916, 'k_frac': 0.075, 'count': 0}
{'Forg_Accuracy': 0.6275331935709294, 'Util_Accuracy': 0.5747229418241799, 'k_frac': 0.1, 'count': 0}
{'Forg_Accuracy': 0.6179245283018868, 'Util_Accuracy': 0.5470381306724802, 'k_frac': 0.25, 'count': 0}
{'Forg_Accuracy': 0.6182739343116702, 'Util_Accuracy': 0.5691146346737445, 'k_frac': 0.4, 'count': 0}
{'Forg_Accuracy': 0.6086652690426275, 'Util_Accuracy': 0.5516826858283012, 'k_frac': 0.5, 'count': 0}
{'Forg_Accuracy': 0.6182739343116702, 'Util_Accuracy': 0.5750734427218517, 'k_frac': 0.7, 'count': 0}
{'Forg_Accuracy': 0.6182739343116702, 'Util_Accuracy': 0.573414275088246, 'k_frac': 0.8, 'count': 0}
{'Forg_Accuracy': 0.5994060097833682, 'Util_Accuracy': 0.5571711755118934, 'k_frac': 0.9, 'count': 0}
{'Forg_Accuracy': 0.59958071278826, 'Util_Accuracy': 0.5758318095815239, 'k_frac': 1.0, 'count': 0}
{'Forg_Accuracy': 0.6367924528301887, 'Util_Accuracy': 0.5756350068445457, 'k_frac': 0.025, 'count': 1}
{'Forg_Accuracy': 0.5992313067784766, 'Util_Accuracy': 0.5437911747931287, 'k_frac': 0.05, 'count': 1}
{'Forg_Accuracy': 0.6367924528301887, 'Util_Accuracy': 0.5773585984382086, 'k_frac': 0.075, 'count': 1}
{'Forg_Accuracy': 0.6182739343116702, 'Util_Accuracy': 0.5727799988297901, 'k_frac': 0.1, 'count': 1}
{'Forg_Accuracy': 0.6179245283018868, 'Util_Accuracy': 0.5470381306724802, 'k_frac': 0.25, 'count': 1}
{'Forg_Accuracy': 0.6182739343116702, 'Util_Accuracy': 0.5691146346737445, 'k_frac': 0.4, 'count': 1}
{'Forg_Accuracy': 0.6086652690426275, 'Util_Accuracy': 0.5516826858283012, 'k_frac': 0.5, 'count': 1}
{'Forg_Accuracy': 0.6182739343116702, 'Util_Accuracy': 0.5750734427218517, 'k_frac': 0.7, 'count': 1}
{'Forg_Accuracy': 0.6182739343116702, 'Util_Accuracy': 0.573414275088246, 'k_frac': 0.8, 'count': 1}
